Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,author id,created_at,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,CARDIFFNLP_ROBERTA_PREDS,hateXplain_PREDS,COVID_HATE_BERT_PREDS,COVID_HATE_BERT_PREDS_bin,hateXplain_PREDS_bin,voting_results
148998,148998.0,148998.0,4827200689.0,2022-04-26 11:32:27+00:00,1.5189159087853527e+18,en,1.0,0.0,0.0,6.0,unk,"AoxiPRNew: Somewhere in #China, #BigWhites are using weapons to bullying two innocent old women. This is what Communism's doing everyday, human degenerating to beasts
https://t.co/oADMLU4R0j",1,0,0,0,1,1
192794,192794.0,192794.0,1.2666624788149985e+18,2022-04-08 02:35:47+00:00,1.512257872251392e+18,en,1.0,0.0,0.0,1.0,unk,"China warns every nation.
Wants World to toe her line. Imagine herself as new God on earth! 

But possesses no guilt for greed for other nations territories. Substandard products. Or Virus.

Chk link. #China #XiJinping
are empty vessels. #FinalWarning 

https://t.co/jLZE8oMlMF",1,1,2,1,0,1
27208,27208.0,27208.0,3318161278.0,2022-12-21 06:59:32+00:00,1.6054579271915356e+18,en,1.0,0.0,0.0,0.0,unk,"#WORLD #UK #USA #JAPAN #ASIA #CHINA #AFRICA #CARRIBEAN #AUSTEALLIA #NEWZEALAND #EUROPE #ENGLAND #SCOTLAND #IRELAND #WALES

PERSECUTION, DISCRIMINATION, HUMAN RIGHTS BREACHES, CRUELTY, INHUMANITY IS RIFE IN THE UK

THE UK MAJORITY ARE SATAN'S FILTHY DIRTY EVIL SCUM OF THE EARTH https://t.co/37g9cskr7g",1,1,2,1,0,1
47719,47719.0,47719.0,1.5525360831869747e+18,2022-12-14 00:08:02+00:00,1.6028176566121595e+18,en,392.0,0.0,2.0,32.0,unk,"Who wants to play with me? Dms open~❤️

#nsfwtwt #nsfwtw #nsfw #nsfwaudio #wet #college #collegestudents #china #horny #collegewhore #jav #asian #barelylegal #incest #leaked #leak #public #skirt #upskirt #cumshot #titdrop #tit #hugetits #pussy #masturbate #dildo #fakecum #maid https://t.co/UyrUiGRWt3",1,0,0,0,1,1
93873,93873.0,93873.0,1.4972656902183158e+18,2022-02-28 01:03:49+00:00,1.4981015987776635e+18,en,0.0,0.0,3.0,0.0,unk,hey #china and #japan AND #taiwan and #malaysia too i think. #RobotProstitutes. You make an AI thing like Sophia i think the name was but you #niggerrig genitals on it for male or female and you make human sex jobs illegal. The robots dont have to be fed and can be disinfected,1,0,0,0,1,1
17459,17459.0,17459.0,16062393.0,2022-12-24 05:26:57+00:00,1.606521789529596e+18,en,1.0,0.0,0.0,1.0,unk,"#America, I am ready to tell #China and #AnthonyFauci to fuck off! They can kiss my #Covid #ass. I am so fucking pissed off. I hate you, #China and #Fauci! #FUCKYOU!! #tcot #ccot #MAGA #Covidsucks",1,0,2,1,1,1
166794,166794.0,166794.0,1.4388020488211784e+18,2022-02-02 00:20:45+00:00,1.4886686795041178e+18,en,0.0,0.0,0.0,0.0,unk,China sux! Fvck chinese new year! They have totally screwed us for going on 3 years! #ChineseNewYear #china #chinesux #fvckchina #covid #wuhan #ChinaIsComplicitInTigrayGenocide #dontsupportchina https://t.co/AXkDiNxePW,1,0,2,1,1,1
124021,124021.0,124021.0,1.5766024137206374e+18,2022-11-21 20:05:27+00:00,1.5947840719384125e+18,en,1.0,0.0,0.0,0.0,unk,girls dm me for huge dick #straight #dick #cock #dickrate #wanking #jerkoff #cum #horny #sext #tradenudes #nudes #bigdick #hardcock #hornyteen #nsfwtwt #nsfwtw #bwc #wanking #nude #penis #trade #hot #asian #china #thai #japan #PINTOSAWARDS #cum #german #gay #horny,1,0,0,0,1,1
36647,36647.0,36647.0,1.4986961581847224e+18,2022-06-14 03:08:22+00:00,1.536546056493736e+18,en,16.0,0.0,1.0,4.0,unk,"♠️consistency♠️
#chinese #chinesewomam #chineseslut #china #chinesebitch #chineseBBC #chinesefuck #blasian #chineseblackfuck  #blackman #blackcock #Meihei #chinesemeihei #BBC #analfuck #pussyfuck #blowjob https://t.co/OoUQxk0CUT",0,0,2,1,1,1
153418,153418.0,153418.0,1.4903777531156398e+18,2022-08-05 18:49:48+00:00,1.5556271461100257e+18,en,0.0,0.0,2.0,0.0,unk,"#terrorismBYCHINA
This country has disputes with all countries sharing borders with . OR  nearby.....
#CHINA RUSSIA BORDER DISPUTE
#INDIA CHINA BODER DISPUTE
#TAIWAN CHINA 
#CHINA TAKE ILLEGAL CONTROL OF TIBET
#CHINA JAPAN 
#CHINA BHUTAN
#CHINA VIETNAM 
#CHINA = A TERRORIST STATE",1,1,2,1,0,1
200677,200677.0,200677.0,88689155.0,2022-01-18 11:11:23+00:00,1.4833965951693087e+18,en,0.0,0.0,0.0,0.0,unk,"Fuck #China ! 
#BoycottTheBeijingOlympics

Don’t try to blame us now - if you would have been upfront and shared data, or better yet not had filthy wet markets selling exotic animals there wouldn’t be a pandemic!
#ChinaCausedCovid https://t.co/6JCWtSAeEw",1,1,2,1,0,1
