author id,created_at,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,COVID_HATE_BERT_PREDS,CARDIFFNLP_ROBERTA_PREDS,hateXplain_PREDS,date,COVID_HATE_BERT_PREDS_bin,hateXplain_PREDS_bin,voting_results
216712704,2020-04-09 18:49:10+00:00,1248322075489718272,en,0,0,0,0,Twitter for Android,So Sad ! China Evicts Africans from their Homes Claiming they are Importing Coronavirus into China @MaziNnamdiKanu #China where did Corona virus originated? #China show the world proof of your claim. I say #Notoracist #Free the blacks https://t.co/1XNolmzvdb,0,1,0,2020-04-09,0,1,1
1145106102360649730,2020-06-20 00:20:50+00:00,1274135082710773761,en,4,0,1,2,Twitter for Android,"This bullshit has gone on long enough ! 
That Chinese bitch lives in luxury !
Fuck the extradition, prisoner swap now &amp; close the door on Chinese 5g we don't want it ! Fuck Off #China !!!
https://t.co/Okg2UCqnP2",2,1,2,2020-06-20,1,0,1
213827781,2020-04-20 21:24:18+00:00,1252347385331646464,en,1,0,0,0,Twitter for Android,"Chinese should have invented a sexual intercourse pandemic diseases, that would have wiped out half of South Africans.

 #Lockdown #Chinese #China #ChineseVirusCorona #epidemic",2,1,1,2020-04-20,1,0,1
1201595808564600834,2020-08-19 13:17:30+00:00,1296073809158701056,en,0,0,0,0,Twitter for Android,"Stop torturing and killing and eating #dogs and #cats #china and #skorea and now #nkorea.Stop teaching children that's its OK to eat them.They are not food,they are meant to be companion animals .#banchineseproducts  and #bankoreanproducts.Why pay good money to #animalmurderes. https://t.co/jZ8Jp0ZCqo",2,0,0,2020-08-19,1,1,1
2225244115,2020-06-16 07:32:07+00:00,1272794066447523845,en,19,0,0,2,Twitter for Android,"#China is showing too much aggression. In Galwan area our three jawan martyred. Shame on #China. In 40 years this happen 1st time. Wake up #Indians , #BoycottChineseProducts . We will not make #China rich to fight with us. Jai Hind",2,1,0,2020-06-16,1,1,1
1219744961299611653,2020-01-27 21:53:27+00:00,1221914140543016960,en,1,0,0,0,Twitter for Android,"#China
Man we should definitly forbid #chinees to travel out of there stinck habitat,today its #coronarvirus
#coronavirus tomorrow its some other creepy disease

Lets boycot everything from these #UyghurGenocide country
Its dangerous to touch @Huawei

https://t.co/IH2EZAJKiO",0,1,0,2020-01-27,0,1,1
81566525,2020-06-16 23:02:49+00:00,1273028285065281541,en,0,0,0,0,Twitter for Android,"Does #China really deserve to be called #Dragon?
What should #Chinese be called in #India to sound better than #dragons?
🇮🇳
#ChinaMustPay #ChinaIndiaFaceoff #IndiaChinaFaceOff #IndiaChinaBorder #IndianArmy #ChinaGetOut #BoycottChineseProduct #BoycottChineseProducts #BoycottChina",2,1,1,2020-06-16,1,0,1
1244826814301835264,2020-04-04 09:13:37+00:00,1246365296635584512,en,3,0,0,2,Twitter for iPhone,"Some of traditional Chinese food.
I believe #China  is pestilent and danger to humans, animals and aliens 
#fuckChina
#chineseVirus 
#coronaVirus https://t.co/Df3wq6FeRx",2,1,1,2020-04-04,1,0,1
832249908300230656,2020-05-08 14:47:08+00:00,1258770414366580736,en,9,1,2,4,Twitter for Android,"#ChinaVirus #ChineseVirus #ChinaLiedAndPeopleDied #Chinamustfall #Covid_19

#China is to blame—

their barbaric, medieval, live animal markets, where cats are skinned alive &amp; bat viruses can jump to humans via pangolins.

The filthy Chinese have murdered people across the globe. https://t.co/zX1ELfjGDo",2,0,0,2020-05-08,1,1,1
3022862503,2020-09-05 23:41:56+00:00,1302391547070087168,en,0,0,0,0,Twitter Web App,"Leftists funding scumbag bases - paying people to fly around the world to make it appear like groundswell uprisings. Islamic shell companies behind all hate. Infowars 5 Sept 2020 (12'49"") #Islam #China #IslamicShellCompanies #BLMareScumbags #BanksMustDie https://t.co/0zmU6AIbaY",0,1,0,2020-09-05,0,1,1
